date,IT Dep.,CostElement,Country,Budget
26-02-2020,Core Infrastructure,Vehicles,Mexico,19888
08-03-2020,Core Infrastructure,Vehicles,Mexico,13186
04-04-2020,Core Infrastructure,Vehicles,Mexico,4894
26-05-2020,Core Infrastructure,Vehicles,Mexico,8019
13-06-2020,Core Infrastructure,Vehicles,Mexico,27973
05-07-2020,Core Infrastructure,Vehicles,Mexico,7086
14-08-2020,Core Infrastructure,Vehicles,Mexico,37017
15-09-2020,Core Infrastructure,Vehicles,Mexico,4954
16-10-2020,Core Infrastructure,Vehicles,Mexico,7584
01-11-2020,Core Infrastructure,Vehicles,Mexico,7677
08-12-2020,Core Infrastructure,Vehicles,Mexico,27995
25-01-2020,Data Centers,Administrative,USA,"-1,22,227"
10-02-2020,Data Centers,Administrative,USA,"-1,25,030"
02-03-2020,Data Centers,Administrative,USA,"-1,25,927"
01-04-2020,Data Centers,Administrative,USA,"-1,38,385"
28-05-2020,Data Centers,Administrative,USA,"-1,36,977"
13-06-2020,Data Centers,Administrative,USA,"-1,33,254"
07-07-2020,Data Centers,Administrative,USA,"-1,35,140"
27-08-2020,Data Centers,Administrative,USA,"-1,19,104"
08-09-2020,Data Centers,Administrative,USA,"-1,49,727"
17-10-2020,Data Centers,Administrative,USA,"-1,33,699"
07-11-2020,Data Centers,Administrative,USA,"-1,51,950"
03-12-2020,Data Centers,Administrative,USA,"-1,14,139"
03-01-2020,Data Centers,Amortization,USA,"9,333"
15-02-2020,Data Centers,Amortization,USA,"12,207"
25-03-2020,Data Centers,Amortization,USA,"37,991"
12-04-2020,Data Centers,Amortization,USA,"2,553"
24-05-2020,Data Centers,Amortization,USA,"29,599"
18-06-2020,Data Centers,Amortization,USA,"4,472"
18-07-2020,Data Centers,Amortization,USA,"40,531"
13-08-2020,Data Centers,Amortization,USA,23961
11-09-2020,Data Centers,Amortization,USA,9281
22-10-2020,Data Centers,Amortization,USA,27409
24-11-2020,Data Centers,Amortization,USA,16180
12-12-2020,Data Centers,Amortization,USA,13131
04-01-2020,Data Centers,Depreciation,Germany,13531
07-02-2020,Data Centers,Depreciation,Germany,27295
28-03-2020,Data Centers,Depreciation,Germany,33462
22-04-2020,Data Centers,Depreciation,Germany,16671
15-05-2020,Data Centers,Depreciation,Germany,28046
08-06-2020,Data Centers,Depreciation,Germany,22927
16-07-2020,Data Centers,Depreciation,Germany,21870
13-08-2020,Data Centers,Depreciation,Germany,10612
13-09-2020,Data Centers,Depreciation,Germany,32813
12-10-2020,Data Centers,Depreciation,Germany,9078
04-11-2020,Data Centers,Depreciation,Germany,13556
07-12-2020,Data Centers,Depreciation,Germany,36678
27-01-2020,Data Centers,Depreciation,United Kingdom,"75,562"
25-02-2020,Data Centers,Depreciation,United Kingdom,"95,068"
15-03-2020,Data Centers,Depreciation,United Kingdom,"83,268"
17-04-2020,Data Centers,Depreciation,United Kingdom,"93,959"
11-05-2020,Data Centers,Depreciation,United Kingdom,"87,016"
06-06-2020,Data Centers,Depreciation,United Kingdom,"93,869"
24-07-2020,Data Centers,Depreciation,United Kingdom,"58,566"
13-08-2020,Data Centers,Depreciation,United Kingdom,"90,456"
19-09-2020,Data Centers,Depreciation,United Kingdom,"79,414"
01-10-2020,Data Centers,Depreciation,United Kingdom,"89,998"
21-11-2020,Data Centers,Depreciation,United Kingdom,"69,481"
11-12-2020,Data Centers,Depreciation,United Kingdom,"80,660"
16-01-2020,Data Centers,Depreciation,USA,"2,58,624"
10-02-2020,Data Centers,Depreciation,USA,"2,50,919"
07-03-2020,Data Centers,Depreciation,USA,"2,57,000"
23-04-2020,Data Centers,Depreciation,USA,"2,49,634"
04-05-2020,Data Centers,Depreciation,USA,"2,58,632"
10-06-2020,Data Centers,Depreciation,USA,"2,52,447"
10-07-2020,Data Centers,Depreciation,USA,"2,83,313"
20-08-2020,Data Centers,Depreciation,USA,"2,67,219"
02-09-2020,Data Centers,Depreciation,USA,"2,55,283"
09-10-2020,Data Centers,Depreciation,USA,"2,53,105"
06-11-2020,Data Centers,Depreciation,USA,"2,72,465"
26-12-2020,Data Centers,Depreciation,USA,"2,46,332"
02-01-2020,Data Centers,Employee Performance,USA,20565
11-02-2020,Data Centers,Employee Performance,USA,32060
19-03-2020,Data Centers,Employee Performance,USA,10472
25-04-2020,Data Centers,Employee Performance,USA,13664
28-05-2020,Data Centers,Employee Performance,USA,19486
01-06-2020,Data Centers,Employee Performance,USA,29477
10-07-2020,Data Centers,Employee Performance,USA,5810
18-08-2020,Data Centers,Employee Performance,USA,26483
06-09-2020,Data Centers,Employee Performance,USA,26731
07-10-2020,Data Centers,Employee Performance,USA,26944
17-11-2020,Data Centers,Employee Performance,USA,30105
09-12-2020,Data Centers,Employee Performance,USA,31501
12-01-2020,Data Centers,External Labor,Germany,"11,815"
25-02-2020,Data Centers,External Labor,Germany,"3,575"
19-03-2020,Data Centers,External Labor,Germany,"39,167"
05-04-2020,Data Centers,External Labor,Germany,"30,401"
01-05-2020,Data Centers,External Labor,Germany,"23,613"
22-06-2020,Data Centers,External Labor,Germany,"5,886"
24-07-2020,Data Centers,External Labor,Germany,"11,447"
10-08-2020,Data Centers,External Labor,Germany,"15,192"
20-09-2020,Data Centers,External Labor,Germany,"21,559"
23-10-2020,Data Centers,External Labor,Germany,"20,248"
27-11-2020,Data Centers,External Labor,Germany,"4,940"
02-12-2020,Data Centers,External Labor,Germany,"27,839"
02-01-2020,Data Centers,External Labor,Ireland,"88,964"
15-02-2020,Data Centers,External Labor,Ireland,"1,04,544"
05-03-2020,Data Centers,External Labor,Ireland,"1,23,263"
25-04-2020,Data Centers,External Labor,Ireland,"1,06,418"
24-05-2020,Data Centers,External Labor,Ireland,"99,829"
22-06-2020,Data Centers,External Labor,Ireland,"1,00,988"
13-07-2020,Data Centers,External Labor,Ireland,"96,072"
25-08-2020,Data Centers,External Labor,Ireland,"1,21,042"
16-09-2020,Data Centers,External Labor,Ireland,"1,23,323"
08-10-2020,Data Centers,External Labor,Ireland,"1,22,041"
10-11-2020,Data Centers,External Labor,Ireland,"1,12,166"
18-12-2020,Data Centers,External Labor,Ireland,"90,090"
26-01-2020,Data Centers,External Labor,United Kingdom,"21,014"
23-02-2020,Data Centers,External Labor,United Kingdom,"13,171"
06-03-2020,Data Centers,External Labor,United Kingdom,"18,316"
21-04-2020,Data Centers,External Labor,United Kingdom,"10,956"
26-05-2020,Data Centers,External Labor,United Kingdom,"32,310"
02-06-2020,Data Centers,External Labor,United Kingdom,"31,153"
06-07-2020,Data Centers,External Labor,United Kingdom,"31,673"
21-08-2020,Data Centers,External Labor,United Kingdom,"6,710"
18-09-2020,Data Centers,External Labor,United Kingdom,"11,621"
05-10-2020,Data Centers,External Labor,United Kingdom,"32,762"
07-11-2020,Data Centers,External Labor,United Kingdom,"24,281"
04-12-2020,Data Centers,External Labor,United Kingdom,"10,814"
08-01-2020,Data Centers,External Labor,USA,"3,30,067"
03-02-2020,Data Centers,External Labor,USA,"3,23,605"
10-03-2020,Data Centers,External Labor,USA,"3,32,611"
06-04-2020,Data Centers,External Labor,USA,"3,20,488"
01-05-2020,Data Centers,External Labor,USA,"3,30,579"
08-06-2020,Data Centers,External Labor,USA,"3,18,233"
06-07-2020,Data Centers,External Labor,USA,"3,02,379"
23-08-2020,Data Centers,External Labor,USA,"3,05,909"
12-09-2020,Data Centers,External Labor,USA,"3,14,946"
25-10-2020,Data Centers,External Labor,USA,"3,38,202"
14-11-2020,Data Centers,External Labor,USA,"3,09,434"
24-12-2020,Data Centers,External Labor,USA,"3,23,537"
18-01-2020,Data Centers,Hardware,United Kingdom,"67,616"
08-02-2020,Data Centers,Hardware,United Kingdom,"48,707"
22-03-2020,Data Centers,Hardware,United Kingdom,"76,772"
22-04-2020,Data Centers,Hardware,United Kingdom,"68,616"
11-05-2020,Data Centers,Hardware,United Kingdom,"57,212"
02-06-2020,Data Centers,Hardware,United Kingdom,"43,383"
22-07-2020,Data Centers,Hardware,United Kingdom,"64,484"
24-08-2020,Data Centers,Hardware,United Kingdom,"57,022"
16-09-2020,Data Centers,Hardware,United Kingdom,"82,058"
19-10-2020,Data Centers,Hardware,United Kingdom,"56,509"
01-11-2020,Data Centers,Hardware,United Kingdom,"62,058"
20-12-2020,Data Centers,Hardware,United Kingdom,"46,453"
21-01-2020,Data Centers,Hardware,USA,"1,10,513"
16-02-2020,Data Centers,Hardware,USA,"94,418"
15-03-2020,Data Centers,Hardware,USA,"1,31,214"
27-04-2020,Data Centers,Hardware,USA,"1,39,210"
23-05-2020,Data Centers,Hardware,USA,"2,40,154"
24-06-2020,Data Centers,Hardware,USA,"1,19,987"
01-07-2020,Data Centers,Hardware,USA,"1,29,082"
21-08-2020,Data Centers,Hardware,USA,"1,12,522"
02-09-2020,Data Centers,Hardware,USA,"89,976"
04-10-2020,Data Centers,Hardware,USA,"29,952"
15-11-2020,Data Centers,Hardware,USA,"17,638"
13-12-2020,Data Centers,Hardware,USA,"42,519"
19-01-2020,Data Centers,Hardware Maintenance,Germany,"25,586"
22-02-2020,Data Centers,Hardware Maintenance,Germany,"3,349"
20-03-2020,Data Centers,Hardware Maintenance,Germany,"28,479"
25-04-2020,Data Centers,Hardware Maintenance,Germany,"13,938"
16-05-2020,Data Centers,Hardware Maintenance,Germany,"12,240"
15-06-2020,Data Centers,Hardware Maintenance,Germany,"31,121"
24-07-2020,Data Centers,Hardware Maintenance,Germany,"22,602"
25-08-2020,Data Centers,Hardware Maintenance,Germany,"20,402"
23-09-2020,Data Centers,Hardware Maintenance,Germany,"34,938"
19-10-2020,Data Centers,Hardware Maintenance,Germany,"14,776"
06-11-2020,Data Centers,Hardware Maintenance,Germany,"28,540"
25-12-2020,Data Centers,Hardware Maintenance,Germany,"36,633"
21-01-2020,Data Centers,Hardware Maintenance,United Kingdom,"66,827"
22-02-2020,Data Centers,Hardware Maintenance,United Kingdom,"57,163"
13-03-2020,Data Centers,Hardware Maintenance,United Kingdom,"35,070"
10-04-2020,Data Centers,Hardware Maintenance,United Kingdom,"55,197"
15-05-2020,Data Centers,Hardware Maintenance,United Kingdom,"31,604"
28-06-2020,Data Centers,Hardware Maintenance,United Kingdom,"62,183"
07-07-2020,Data Centers,Hardware Maintenance,United Kingdom,"33,441"
20-08-2020,Data Centers,Hardware Maintenance,United Kingdom,"48,135"
10-09-2020,Data Centers,Hardware Maintenance,United Kingdom,"60,936"
07-10-2020,Data Centers,Hardware Maintenance,United Kingdom,"48,894"
12-11-2020,Data Centers,Hardware Maintenance,United Kingdom,"66,791"
24-12-2020,Data Centers,Hardware Maintenance,United Kingdom,"45,301"
06-01-2020,Data Centers,Hardware Maintenance,USA,"1,83,566"
07-02-2020,Data Centers,Hardware Maintenance,USA,"2,31,356"
18-03-2020,Data Centers,Hardware Maintenance,USA,"1,10,751"
14-04-2020,Data Centers,Hardware Maintenance,USA,"1,71,999"
19-05-2020,Data Centers,Hardware Maintenance,USA,"2,17,888"
28-06-2020,Data Centers,Hardware Maintenance,USA,"1,02,754"
25-07-2020,Data Centers,Hardware Maintenance,USA,"1,93,969"
05-08-2020,Data Centers,Hardware Maintenance,USA,"2,31,667"
19-09-2020,Data Centers,Hardware Maintenance,USA,"1,17,608"
25-10-2020,Data Centers,Hardware Maintenance,USA,"1,79,491"
02-11-2020,Data Centers,Hardware Maintenance,USA,"2,43,731"
02-12-2020,Data Centers,Hardware Maintenance,USA,"1,30,903"
07-01-2020,Data Centers,Internal Labor,Austria,"4,888"
05-02-2020,Data Centers,Internal Labor,Austria,"10,659"
28-03-2020,Data Centers,Internal Labor,Austria,"32,017"
19-04-2020,Data Centers,Internal Labor,Austria,"9,785"
17-05-2020,Data Centers,Internal Labor,Austria,"31,852"
26-06-2020,Data Centers,Internal Labor,Austria,"37,835"
20-07-2020,Data Centers,Internal Labor,Austria,"18,718"
23-08-2020,Data Centers,Internal Labor,Austria,"20,650"
25-09-2020,Data Centers,Internal Labor,Austria,"26,633"
16-10-2020,Data Centers,Internal Labor,Austria,"28,757"
28-11-2020,Data Centers,Internal Labor,Austria,"30,534"
22-12-2020,Data Centers,Internal Labor,Austria,"19,392"
07-01-2020,Data Centers,Internal Labor,Germany,"33,282"
26-02-2020,Data Centers,Internal Labor,Germany,"44,340"
14-03-2020,Data Centers,Internal Labor,Germany,"36,438"
11-04-2020,Data Centers,Internal Labor,Germany,"51,493"
21-05-2020,Data Centers,Internal Labor,Germany,"33,781"
04-06-2020,Data Centers,Internal Labor,Germany,"34,460"
11-07-2020,Data Centers,Internal Labor,Germany,"44,280"
14-08-2020,Data Centers,Internal Labor,Germany,"24,711"
27-09-2020,Data Centers,Internal Labor,Germany,"35,425"
13-10-2020,Data Centers,Internal Labor,Germany,"45,648"
15-11-2020,Data Centers,Internal Labor,Germany,"28,848"
24-12-2020,Data Centers,Internal Labor,Germany,"29,560"
08-01-2020,Data Centers,Internal Labor,Netherlands,"19,929"
27-02-2020,Data Centers,Internal Labor,Netherlands,"38,738"
20-03-2020,Data Centers,Internal Labor,Netherlands,"41,296"
11-04-2020,Data Centers,Internal Labor,Netherlands,"12,722"
03-05-2020,Data Centers,Internal Labor,Netherlands,"30,393"
28-06-2020,Data Centers,Internal Labor,Netherlands,"7,225"
23-07-2020,Data Centers,Internal Labor,Netherlands,"16,364"
22-08-2020,Data Centers,Internal Labor,Netherlands,"5,173"
10-09-2020,Data Centers,Internal Labor,Netherlands,"13,537"
06-10-2020,Data Centers,Internal Labor,Netherlands,"28,269"
02-11-2020,Data Centers,Internal Labor,Netherlands,"9,702"
25-12-2020,Data Centers,Internal Labor,Netherlands,"34,186"
03-01-2020,Data Centers,Internal Labor,Spain,"28,469"
10-02-2020,Data Centers,Internal Labor,Spain,"37,134"
22-03-2020,Data Centers,Internal Labor,Spain,"6,199"
26-04-2020,Data Centers,Internal Labor,Spain,"43,767"
13-05-2020,Data Centers,Internal Labor,Spain,"27,305"
17-06-2020,Data Centers,Internal Labor,Spain,"27,130"
06-07-2020,Data Centers,Internal Labor,Spain,"22,863"
11-08-2020,Data Centers,Internal Labor,Spain,"18,595"
26-09-2020,Data Centers,Internal Labor,Spain,"18,468"
08-10-2020,Data Centers,Internal Labor,Spain,"9,408"
23-11-2020,Data Centers,Internal Labor,Spain,"26,532"
27-12-2020,Data Centers,Internal Labor,Spain,"45,209"
05-01-2020,Data Centers,Internal Labor,United Kingdom,"56,298"
26-02-2020,Data Centers,Internal Labor,United Kingdom,"72,395"
07-03-2020,Data Centers,Internal Labor,United Kingdom,"65,590"
25-04-2020,Data Centers,Internal Labor,United Kingdom,"55,224"
05-05-2020,Data Centers,Internal Labor,United Kingdom,"48,772"
08-06-2020,Data Centers,Internal Labor,United Kingdom,"59,454"
17-07-2020,Data Centers,Internal Labor,United Kingdom,"62,963"
14-08-2020,Data Centers,Internal Labor,United Kingdom,"51,561"
22-09-2020,Data Centers,Internal Labor,United Kingdom,"43,613"
19-10-2020,Data Centers,Internal Labor,United Kingdom,"75,418"
17-11-2020,Data Centers,Internal Labor,United Kingdom,"46,628"
16-12-2020,Data Centers,Internal Labor,United Kingdom,"47,538"
16-01-2020,Data Centers,Internal Labor,USA,"1,45,749"
08-02-2020,Data Centers,Internal Labor,USA,"1,67,146"
25-03-2020,Data Centers,Internal Labor,USA,"1,48,005"
06-04-2020,Data Centers,Internal Labor,USA,"1,43,566"
04-05-2020,Data Centers,Internal Labor,USA,"1,39,594"
14-06-2020,Data Centers,Internal Labor,USA,"1,58,646"
10-07-2020,Data Centers,Internal Labor,USA,"1,70,727"
18-08-2020,Data Centers,Internal Labor,USA,"1,71,942"
18-09-2020,Data Centers,Internal Labor,USA,"1,73,637"
25-10-2020,Data Centers,Internal Labor,USA,"1,68,483"
15-11-2020,Data Centers,Internal Labor,USA,"1,39,778"
18-12-2020,Data Centers,Internal Labor,USA,"1,50,271"
03-01-2020,Data Centers,Other,Germany,2261
22-02-2020,Data Centers,Other,Germany,3097
21-03-2020,Data Centers,Other,Germany,6547
17-04-2020,Data Centers,Other,Germany,15465
04-05-2020,Data Centers,Other,Germany,9926
23-06-2020,Data Centers,Other,Germany,6233
26-07-2020,Data Centers,Other,Germany,6944
03-08-2020,Data Centers,Other,Germany,28138
20-09-2020,Data Centers,Other,Germany,17662
20-10-2020,Data Centers,Other,Germany,2003
11-11-2020,Data Centers,Other,Germany,28096
18-12-2020,Data Centers,Other,Germany,29822
04-01-2020,Data Centers,Other,United Kingdom,"5,085"
01-02-2020,Data Centers,Other,United Kingdom,"14,959"
05-03-2020,Data Centers,Other,United Kingdom,"9,834"
25-04-2020,Data Centers,Other,United Kingdom,"40,616"
27-05-2020,Data Centers,Other,United Kingdom,"5,369"
03-06-2020,Data Centers,Other,United Kingdom,"18,812"
14-07-2020,Data Centers,Other,United Kingdom,"3,776"
14-08-2020,Data Centers,Other,United Kingdom,"32,066"
15-09-2020,Data Centers,Other,United Kingdom,"11,621"
18-10-2020,Data Centers,Other,United Kingdom,"21,139"
10-11-2020,Data Centers,Other,United Kingdom,"21,360"
23-12-2020,Data Centers,Other,United Kingdom,"42,419"
24-02-2020,Data Centers,Other,USA,"7,969"
21-04-2020,Data Centers,Other,USA,"30,013"
27-07-2020,Data Centers,Other,USA,"3,457"
16-08-2020,Data Centers,Other,USA,"34,119"
08-03-2020,Data Centers,Project Expenses,USA,"15,148"
05-01-2020,Data Centers,Recognition,USA,10647
23-02-2020,Data Centers,Recognition,USA,3145
16-03-2020,Data Centers,Recognition,USA,27869
26-04-2020,Data Centers,Recognition,USA,866
05-05-2020,Data Centers,Recognition,USA,16761
15-06-2020,Data Centers,Recognition,USA,7722
08-07-2020,Data Centers,Recognition,USA,11419
22-08-2020,Data Centers,Recognition,USA,18935
14-09-2020,Data Centers,Recognition,USA,37669
06-10-2020,Data Centers,Recognition,USA,36933
21-11-2020,Data Centers,Recognition,USA,10273
21-12-2020,Data Centers,Recognition,USA,21795
16-01-2020,Data Centers,Software,USA,"63,622"
27-02-2020,Data Centers,Software,USA,"54,571"
18-03-2020,Data Centers,Software,USA,"41,620"
23-04-2020,Data Centers,Software,USA,"48,972"
21-05-2020,Data Centers,Software,USA,"44,525"
26-06-2020,Data Centers,Software,USA,"34,927"
21-07-2020,Data Centers,Software,USA,"38,736"
05-08-2020,Data Centers,Software,USA,"48,551"
18-09-2020,Data Centers,Software,USA,"33,849"
26-10-2020,Data Centers,Software,USA,"27,891"
27-11-2020,Data Centers,Software,USA,"50,299"
27-12-2020,Data Centers,Software,USA,"42,412"
03-01-2020,Data Centers,Software Maintenance,United Kingdom,"16,291"
19-02-2020,Data Centers,Software Maintenance,United Kingdom,"47,320"
08-03-2020,Data Centers,Software Maintenance,United Kingdom,"19,178"
20-04-2020,Data Centers,Software Maintenance,United Kingdom,"32,203"
10-05-2020,Data Centers,Software Maintenance,United Kingdom,"13,264"
15-06-2020,Data Centers,Software Maintenance,United Kingdom,"50,293"
12-07-2020,Data Centers,Software Maintenance,United Kingdom,"48,787"
19-08-2020,Data Centers,Software Maintenance,United Kingdom,"36,679"
11-09-2020,Data Centers,Software Maintenance,United Kingdom,"49,920"
10-10-2020,Data Centers,Software Maintenance,United Kingdom,"36,300"
28-11-2020,Data Centers,Software Maintenance,United Kingdom,"27,908"
21-12-2020,Data Centers,Software Maintenance,United Kingdom,"13,553"
12-01-2020,Data Centers,Software Maintenance,USA,"1,44,522"
08-02-2020,Data Centers,Software Maintenance,USA,"1,34,396"
21-03-2020,Data Centers,Software Maintenance,USA,"1,48,606"
17-04-2020,Data Centers,Software Maintenance,USA,"1,37,098"
01-05-2020,Data Centers,Software Maintenance,USA,"1,16,223"
22-06-2020,Data Centers,Software Maintenance,USA,"1,55,802"
04-07-2020,Data Centers,Software Maintenance,USA,"1,57,370"
22-08-2020,Data Centers,Software Maintenance,USA,"1,72,218"
15-09-2020,Data Centers,Software Maintenance,USA,"1,35,311"
07-10-2020,Data Centers,Software Maintenance,USA,"1,27,796"
15-11-2020,Data Centers,Software Maintenance,USA,"1,49,559"
04-12-2020,Data Centers,Software Maintenance,USA,"1,54,087"
22-01-2020,Data Centers,Supplies,Austria,38535
24-02-2020,Data Centers,Supplies,Austria,21217
11-03-2020,Data Centers,Supplies,Austria,29247
19-04-2020,Data Centers,Supplies,Austria,24173
03-05-2020,Data Centers,Supplies,Austria,33920
06-06-2020,Data Centers,Supplies,Austria,30117
23-07-2020,Data Centers,Supplies,Austria,26268
03-08-2020,Data Centers,Supplies,Austria,23023
14-09-2020,Data Centers,Supplies,Austria,31294
12-10-2020,Data Centers,Supplies,Austria,2113
10-11-2020,Data Centers,Supplies,Austria,38581
18-12-2020,Data Centers,Supplies,Austria,9588
27-01-2020,Data Centers,Supplies,Germany,2748
18-02-2020,Data Centers,Supplies,Germany,29661
08-03-2020,Data Centers,Supplies,Germany,293
27-04-2020,Data Centers,Supplies,Germany,29767
14-05-2020,Data Centers,Supplies,Germany,35433
07-06-2020,Data Centers,Supplies,Germany,5520
10-07-2020,Data Centers,Supplies,Germany,33770
03-08-2020,Data Centers,Supplies,Germany,8883
27-09-2020,Data Centers,Supplies,Germany,28944
16-10-2020,Data Centers,Supplies,Germany,1641
23-11-2020,Data Centers,Supplies,Germany,21977
21-12-2020,Data Centers,Supplies,Germany,29202
10-01-2020,Data Centers,Supplies,Spain,15832
19-02-2020,Data Centers,Supplies,Spain,22314
09-03-2020,Data Centers,Supplies,Spain,25579
07-04-2020,Data Centers,Supplies,Spain,19638
22-05-2020,Data Centers,Supplies,Spain,25274
18-06-2020,Data Centers,Supplies,Spain,33543
07-07-2020,Data Centers,Supplies,Spain,24902
17-08-2020,Data Centers,Supplies,Spain,36865
13-09-2020,Data Centers,Supplies,Spain,2711
04-10-2020,Data Centers,Supplies,Spain,26396
11-11-2020,Data Centers,Supplies,Spain,20959
02-12-2020,Data Centers,Supplies,Spain,14824
05-01-2020,Data Centers,Supplies,United Kingdom,25135
24-02-2020,Data Centers,Supplies,United Kingdom,17806
16-03-2020,Data Centers,Supplies,United Kingdom,26701
26-04-2020,Data Centers,Supplies,United Kingdom,24547
06-05-2020,Data Centers,Supplies,United Kingdom,31980
13-06-2020,Data Centers,Supplies,United Kingdom,33987
09-07-2020,Data Centers,Supplies,United Kingdom,28047
10-08-2020,Data Centers,Supplies,United Kingdom,32647
06-09-2020,Data Centers,Supplies,United Kingdom,739
09-10-2020,Data Centers,Supplies,United Kingdom,36927
07-11-2020,Data Centers,Supplies,United Kingdom,21208
25-12-2020,Data Centers,Supplies,United Kingdom,20451
12-01-2020,Data Centers,Supplies,USA,2206
22-02-2020,Data Centers,Supplies,USA,40104
13-03-2020,Data Centers,Supplies,USA,17974
28-04-2020,Data Centers,Supplies,USA,17213
16-05-2020,Data Centers,Supplies,USA,17316
02-06-2020,Data Centers,Supplies,USA,26646
02-07-2020,Data Centers,Supplies,USA,10412
10-08-2020,Data Centers,Supplies,USA,5734
26-09-2020,Data Centers,Supplies,USA,5282
23-10-2020,Data Centers,Supplies,USA,17442
03-11-2020,Data Centers,Supplies,USA,5302
11-12-2020,Data Centers,Supplies,USA,27940
19-01-2020,Data Centers,Taxes,USA,"19,121"
16-02-2020,Data Centers,Taxes,USA,"30,828"
20-03-2020,Data Centers,Taxes,USA,"19,158"
18-04-2020,Data Centers,Taxes,USA,"11,795"
02-05-2020,Data Centers,Taxes,USA,"30,448"
07-06-2020,Data Centers,Taxes,USA,"16,151"
09-07-2020,Data Centers,Taxes,USA,"14,639"
01-08-2020,Data Centers,Taxes,USA,"15,196"
24-09-2020,Data Centers,Taxes,USA,"36,207"
04-10-2020,Data Centers,Taxes,USA,"33,168"
11-11-2020,Data Centers,Taxes,USA,"31,895"
04-12-2020,Data Centers,Taxes,USA,"29,571"
20-01-2020,Data Centers,Telecomm,Austria,5156
21-02-2020,Data Centers,Telecomm,Austria,39506
23-03-2020,Data Centers,Telecomm,Austria,35705
14-04-2020,Data Centers,Telecomm,Austria,702
17-05-2020,Data Centers,Telecomm,Austria,35245
05-06-2020,Data Centers,Telecomm,Austria,16506
03-07-2020,Data Centers,Telecomm,Austria,15094
10-08-2020,Data Centers,Telecomm,Austria,17100
23-09-2020,Data Centers,Telecomm,Austria,13392
17-10-2020,Data Centers,Telecomm,Austria,28153
20-11-2020,Data Centers,Telecomm,Austria,12517
02-12-2020,Data Centers,Telecomm,Austria,14594
13-01-2020,Data Centers,Telecomm,Germany,25754
16-02-2020,Data Centers,Telecomm,Germany,36560
27-03-2020,Data Centers,Telecomm,Germany,15127
01-04-2020,Data Centers,Telecomm,Germany,17426
10-05-2020,Data Centers,Telecomm,Germany,27411
03-06-2020,Data Centers,Telecomm,Germany,18032
24-07-2020,Data Centers,Telecomm,Germany,33378
01-08-2020,Data Centers,Telecomm,Germany,14324
16-09-2020,Data Centers,Telecomm,Germany,2282
15-10-2020,Data Centers,Telecomm,Germany,6937
18-11-2020,Data Centers,Telecomm,Germany,24335
08-12-2020,Data Centers,Telecomm,Germany,39698
20-01-2020,Data Centers,Telecomm,Spain,5343
18-02-2020,Data Centers,Telecomm,Spain,26477
25-03-2020,Data Centers,Telecomm,Spain,19904
24-04-2020,Data Centers,Telecomm,Spain,9524
14-05-2020,Data Centers,Telecomm,Spain,4931
07-06-2020,Data Centers,Telecomm,Spain,32752
13-07-2020,Data Centers,Telecomm,Spain,20344
06-08-2020,Data Centers,Telecomm,Spain,17721
05-09-2020,Data Centers,Telecomm,Spain,31329
15-10-2020,Data Centers,Telecomm,Spain,17001
10-11-2020,Data Centers,Telecomm,Spain,8330
03-12-2020,Data Centers,Telecomm,Spain,11675
09-01-2020,Data Centers,Telecomm,United Kingdom,31795
15-02-2020,Data Centers,Telecomm,United Kingdom,25342
17-03-2020,Data Centers,Telecomm,United Kingdom,2182
12-04-2020,Data Centers,Telecomm,United Kingdom,19232
02-05-2020,Data Centers,Telecomm,United Kingdom,36066
24-06-2020,Data Centers,Telecomm,United Kingdom,28753
14-07-2020,Data Centers,Telecomm,United Kingdom,31717
17-08-2020,Data Centers,Telecomm,United Kingdom,10958
20-09-2020,Data Centers,Telecomm,United Kingdom,17147
04-10-2020,Data Centers,Telecomm,United Kingdom,14587
23-11-2020,Data Centers,Telecomm,United Kingdom,39070
13-12-2020,Data Centers,Telecomm,United Kingdom,12856
28-01-2020,Data Centers,Telecomm,USA,"7,438"
20-02-2020,Data Centers,Telecomm,USA,"29,041"
19-03-2020,Data Centers,Telecomm,USA,"35,276"
04-04-2020,Data Centers,Telecomm,USA,"16,898"
02-05-2020,Data Centers,Telecomm,USA,"28,260"
15-06-2020,Data Centers,Telecomm,USA,"33,297"
26-07-2020,Data Centers,Telecomm,USA,"16,695"
24-08-2020,Data Centers,Telecomm,USA,"11,156"
26-09-2020,Data Centers,Telecomm,USA,"19,836"
08-10-2020,Data Centers,Telecomm,USA,"13,364"
20-11-2020,Data Centers,Telecomm,USA,"32,746"
21-12-2020,Data Centers,Telecomm,USA,"16,073"
15-01-2020,Data Centers,Training,Austria,10990
18-02-2020,Data Centers,Training,Austria,19238
23-03-2020,Data Centers,Training,Austria,30640
22-04-2020,Data Centers,Training,Austria,20412
06-05-2020,Data Centers,Training,Austria,9665
19-06-2020,Data Centers,Training,Austria,3038
01-07-2020,Data Centers,Training,Austria,33704
04-08-2020,Data Centers,Training,Austria,28606
23-09-2020,Data Centers,Training,Austria,6662
24-10-2020,Data Centers,Training,Austria,31732
28-11-2020,Data Centers,Training,Austria,30657
21-12-2020,Data Centers,Training,Austria,8937
03-01-2020,Data Centers,Training,Germany,7776
12-02-2020,Data Centers,Training,Germany,34533
19-03-2020,Data Centers,Training,Germany,19613
23-04-2020,Data Centers,Training,Germany,27210
04-05-2020,Data Centers,Training,Germany,14144
20-06-2020,Data Centers,Training,Germany,32463
